"#";"Group";"Subgroup";"Site";"Time";"Service flags";"Flow rate ES flags";"Heat ES flags";"Work time, s";"Time without flow rate measuring, s";"Time without heat measuring, s";"V+, m³";"V-, m³";"M+, t";"W, Gcal/h";"Work time for the interval, s";"Time without flow rate measuring for the interval, s";"Time without heat measuring for the interval, s";"V+ accumulated, m³";"V- accumulated, m³";"M+ accumulated, t";"W accumulated, Gcal/h";"Min volume flow rate, m³/h";"Max volume flow rate, m³/h";"Min weight flow rate, m³/h";"Max weight flow rate, m³/h";"Min temperature 1, °C";"Max temperature 1, °C";"Average temperature 1, °C";"Min temperature 2, °C";"Max temperature 2, °C";"Average temperature 2, °C";"Min pressure, MPa";"Max pressure, MPa";"Average pressure, MPa"
"75";"";"";"Phaterak";"21/01/2021 15:38:26";"0";"2";"0";"135";"135";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"76";"";"";"Phaterak";"21/01/2021 15:38:28";"0";"2";"0";"137";"137";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"77";"";"";"Phaterak";"21/01/2021 15:38:30";"0";"2";"0";"139";"139";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"78";"";"";"Phaterak";"21/01/2021 15:38:32";"0";"2";"0";"141";"141";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"79";"";"";"Phaterak";"21/01/2021 15:38:34";"0";"2";"0";"143";"143";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"80";"";"";"Phaterak";"21/01/2021 15:38:36";"0";"2";"0";"145";"145";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"81";"";"";"Phaterak";"21/01/2021 15:38:38";"0";"2";"0";"147";"147";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"82";"";"";"Phaterak";"21/01/2021 15:38:40";"0";"2";"0";"149";"149";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"83";"";"";"Phaterak";"21/01/2021 15:38:42";"0";"2";"0";"151";"151";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"84";"";"";"Phaterak";"21/01/2021 15:38:44";"0";"2";"0";"153";"153";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"85";"";"";"Phaterak";"21/01/2021 15:38:46";"0";"2";"0";"155";"155";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"86";"";"";"Phaterak";"21/01/2021 15:38:48";"0";"2";"0";"157";"157";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"87";"";"";"Phaterak";"21/01/2021 15:38:50";"0";"2";"0";"159";"159";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"88";"";"";"Phaterak";"21/01/2021 15:38:52";"0";"2";"0";"161";"161";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"89";"";"";"Phaterak";"21/01/2021 15:38:54";"0";"2";"0";"163";"163";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"90";"";"";"Phaterak";"21/01/2021 15:38:56";"0";"2";"0";"165";"165";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"91";"";"";"Phaterak";"21/01/2021 15:38:58";"0";"2";"0";"167";"167";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"92";"";"";"Phaterak";"21/01/2021 15:39:00";"0";"2";"0";"169";"169";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"93";"";"";"Phaterak";"21/01/2021 15:39:02";"0";"2";"0";"171";"171";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"94";"";"";"Phaterak";"21/01/2021 15:39:04";"0";"2";"0";"173";"173";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"95";"";"";"Phaterak";"21/01/2021 15:39:05";"0";"2";"0";"174";"174";"0";"0,000";"0,000";"0,000";"0,000";"1";"1";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"96";"";"";"Phaterak";"21/01/2021 15:39:10";"0";"1";"0";"175";"174";"0";"0,000";"0,000";"0,000";"0,000";"1";"0";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"97";"";"";"Phaterak";"21/01/2021 15:39:12";"0";"1";"0";"177";"174";"0";"0,000";"0,000";"0,000";"0,000";"2";"0";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"98";"";"";"Phaterak";"21/01/2021 15:39:14";"0";"1";"0";"179";"174";"0";"0,000";"0,000";"0,000";"0,000";"2";"0";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"99";"";"";"Phaterak";"21/01/2021 15:39:16";"0";"2";"0";"181";"181";"0";"0,000";"0,000";"0,000";"0,000";"2";"7";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"100";"";"";"Phaterak";"21/01/2021 15:39:18";"0";"2";"0";"183";"183";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"101";"";"";"Phaterak";"21/01/2021 15:39:20";"0";"2";"0";"185";"185";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"102";"";"";"Phaterak";"21/01/2021 15:39:22";"0";"2";"0";"187";"187";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"103";"";"";"Phaterak";"21/01/2021 15:39:24";"0";"2";"0";"189";"189";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"104";"";"";"Phaterak";"21/01/2021 15:39:26";"0";"2";"0";"191";"191";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"105";"";"";"Phaterak";"21/01/2021 15:39:28";"0";"2";"0";"193";"193";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
