,When,T_a,RH,v_a,SW_global,LW_in,p_a,SW_diffuse,SW_direct
0,2020-12-14 00:00:00,-9.68,44.13,0.774,-3.614,171.3,617.679,0,-3.614
1,2020-12-14 00:15:00,-10.14,39.03,0.0,-3.094,171.1,617.596,0,-3.094
2,2020-12-14 00:30:00,-10.47,41.46,0.269,-3.062,170.5,617.513,0,-3.062
3,2020-12-14 00:45:00,-10.62,56.8,0.397,-3.098,170.0,617.43,0,-3.098
4,2020-12-14 01:00:00,-10.6,58.43,0.736,-3.294,169.6,617.3480000000001,0,-3.294
5,2020-12-14 01:15:00,-10.79,59.84,0.77,-3.416,169.1,617.332,0,-3.416
6,2020-12-14 01:30:00,-11.09,52.65,0.745,-3.43,168.5,617.317,0,-3.43
7,2020-12-14 01:45:00,-11.28,48.01,0.389,-3.174,168.2,617.302,0,-3.174
8,2020-12-14 02:00:00,-11.41,58.32,0.538,-3.088,167.9,617.286,0,-3.088
9,2020-12-14 02:15:00,-11.54,60.22,0.861,-3.256,167.4,617.276,0,-3.256
10,2020-12-14 02:30:00,-11.74,54.34,0.671,-3.361,167.0,617.266,0,-3.361
11,2020-12-14 02:45:00,-12.05,60.87,0.299,-2.934,166.9,617.255,0,-2.934
12,2020-12-14 03:00:00,-11.98,55.02,0.628,-2.936,166.5,617.245,0,-2.936
13,2020-12-14 03:15:00,-12.19,60.62,0.905,-3.208,166.0,617.185,0,-3.208
14,2020-12-14 03:30:00,-12.39,58.97,0.569,-3.256,165.7,617.125,0,-3.256
15,2020-12-14 03:45:00,-12.63,62.2,0.776,-3.081,165.5,617.064,0,-3.081
16,2020-12-14 04:00:00,-12.83,59.4,0.637,-3.153,165.2,617.004,0,-3.153
17,2020-12-14 04:15:00,-12.98,59.17,0.426,-3.246,164.9,616.964,0,-3.246
18,2020-12-14 04:30:00,-13.35,55.46,0.586,-3.091,164.5,616.924,0,-3.091
19,2020-12-14 04:45:00,-13.53,54.91,0.533,-3.033,164.3,616.884,0,-3.033
20,2020-12-14 05:00:00,-13.67,68.7,0.329,-2.969,163.9,616.844,0,-2.969
21,2020-12-14 05:15:00,-13.76,57.52,0.616,-3.033,163.7,616.9169999999999,0,-3.033
22,2020-12-14 05:30:00,-13.83,65.29,0.906,-2.971,163.2,616.989,0,-2.971
23,2020-12-14 05:45:00,-13.87,57.94,0.771,-3.142,162.9,617.062,0,-3.142
24,2020-12-14 06:00:00,-14.29,56.56,0.627,-3.11,162.7,617.134,0,-3.11
25,2020-12-14 06:15:00,-14.55,55.51,0.649,-2.834,162.4,617.207,0,-2.834
