,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
2020-12-04 22:00:00,0.4851889,50.10738,67.60076,4.267031,104.7,-2.877492,255.6186
2020-12-04 22:30:00,-0.0200336,52.39234,67.6032,2.090263,104.8,-3.588468,244.9633
2020-12-04 23:00:00,-0.5499052,55.07651,67.59391,1.281731,104.8,-3.863819,231.7662
2020-12-04 23:30:00,-0.8752841,58.11564,67.59437,1.898308,104.8,-2.465696,240.4944
2020-12-05 00:00:00,-1.375759,60.46527,67.59467,0.7526869,104.8,-2.336344,255.8199
2020-12-05 00:30:00,-1.807407,61.61277,67.58627,1.440499,104.8,-1.329194,261.4368
2020-12-05 01:00:00,-1.951051,63.92792,67.58254,0.8394567,104.7,-2.838778,243.1497
2020-12-05 01:30:00,-1.793119,66.29985,67.57872,1.581336,104.9,-1.27382,249.3479
2020-12-05 02:00:00,-1.99972,67.71615,67.58012,0.4544277,104.8,-2.718628,240.5916
2020-12-05 02:30:00,-2.254318,68.95556,67.58829,0.5085171,104.8,-1.050513,246.363
2020-12-05 03:00:00,-2.618411,70.30955,67.60392,0.7926208,104.8,-1.379584,244.733
2020-12-05 03:30:00,-2.798752,71.55646,67.61559,0.9047045,104.8,-2.714655,226.929
2020-12-05 04:00:00,-3.020887,73.30303,67.60937,1.606768,104.7,-2.63239,219.6864
2020-12-05 04:30:00,-3.367555,75.27891,67.60101,0.9666633,104.6,-3.297245,213.1302
2020-12-05 05:00:00,-3.269032,76.17319,67.60279,0.9180971,104.6,-1.597297,228.0967
2020-12-05 05:30:00,,,,,,,
2020-12-05 06:00:00,-3.807514,77.89241,67.6235,0.7300793,104.5,-1.845502,215.6049
2020-12-05 06:30:00,-4.006582,78.69147,67.64498,0.882472,104.6,-2.005657,215.6669
2020-12-05 07:00:00,-4.616533,80.52846,67.66655,0.3599204,104.6,-1.984095,221.3839
2020-12-05 07:30:00,-4.8511,81.62927,67.69414,0.3512808,104.8,6.432175,238.7815
2020-12-05 08:00:00,-4.459836,79.24506,67.72662,0.2935827,104.8,32.05076,242.6577
2020-12-05 08:30:00,,,,,,,
