,When,Area,FillV,CutV,TotalV,Height,dia,V
0,2020-12-17 00:00:00,197.0,-82.8242,15.7344,-67.0898,4,15.591115878101055,254.426762726179
1,2021-01-02 00:00:00,606.0,-47.0475,167.867,120.819,11,27.391384421346345,2159.5787887909055
2,2021-02-17 01:00:00,707.0,-3.87808,511.611,507.733,12,29.61345403053626,2753.6439112026687
3,2021-02-17 02:00:00,707.0,-11.5415,533.32,521.778,12,29.61345403053626,2753.6439112026687
4,2021-03-04 00:00:00,641.0,-12.7619,487.899,475.137,14,28.089863490648916,2890.518111948989
5,2021-03-04 02:00:00,585.564,-17.5814,436.05,418.469,5,27.12947525582552,962.9443595171875
